Sample in Buffer,Sample in Window,TRIGGER,input_L[23:0],output_L[23:0],r_data_rx[23:0],r_data_filt[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
1105,1105,0,5835319,5528745,5890884,5024728,1
1106,1106,0,6506532,5528745,5890884,5581544,1
1107,1107,0,6506532,6140978,6569209,5581544,1
1108,1108,0,5850987,6140978,6569209,6199608,1
1109,1109,0,5850987,6266857,5907626,6199608,1
1110,1110,0,4354971,6266857,5907626,6326724,1
1111,1111,0,4354971,5988011,4396965,6326724,1
1112,1112,0,3758972,5988011,4396965,6045199,1
1113,1113,0,3758972,5869483,3794691,6045199,1
1114,1114,0,4087059,5869483,3794691,5925544,1
1115,1115,0,4087059,5992211,4125859,5925544,1
1116,1116,0,3651323,5992211,4125859,6049674,1
1117,1117,0,3651323,5817378,3686705,6049674,1
1118,1118,0,1929730,5817378,3686705,5873408,1
1119,1119,0,1929730,5112908,1948734,5873408,1
1120,1120,0,501692,5112908,1948734,5162185,1
1121,1121,0,501692,4361137,506876,5162185,1
1122,1122,0,371976,4361137,506876,4402949,1
1123,1123,0,371976,3949739,375500,4402949,1
1124,1124,0,280083,3949739,375500,3987474,1
1125,1125,0,280083,3527410,283346,3987474,1
1126,1126,0,-1106708,3527410,283346,3561257,1
1127,1127,0,-1106708,2625062,-1116647,3561257,1
1128,1128,0,-2899493,2625062,-1116647,2650520,1
1129,1129,0,-2899493,1481153,-2926968,2650520,1
1130,1130,0,-3457288,1481153,-2926968,1495701,1
1131,1131,0,-3457288,659633,-3490589,1495701,1
1132,1132,0,-3178671,659633,-3490589,666248,1
1133,1133,0,-3178671,116414,-3208715,666248,1
1134,1134,0,-3798407,116414,-3208715,117883,1
1135,1135,0,-3798407,-696933,-3834247,117883,1
1136,1136,0,-5373683,-696933,-3834247,-703152,1
1137,1137,0,-5373683,-1864868,-5424681,-703152,1
1138,1138,0,-6181867,-1864868,-5424681,-1882345,1
1139,1139,0,-6181867,-2832989,-6240608,-1882345,1
1140,1140,0,-5652614,-2832989,-6240608,-2859910,1
1141,1141,0,-5652614,-3328309,-5707001,-2859910,1
1142,1142,0,-5290225,-3328309,-5707001,-3359976,1
1143,1143,0,-5290225,-3797673,-5340738,-3359976,1
1144,1144,0,-6137817,-3797673,-5340738,-3833685,1
1145,1145,0,-6137817,-4617469,-6196182,-3833685,1
1146,1146,0,-6946083,-4617469,-6196182,-4661212,1
1147,1147,0,-6946083,-5426849,-7012797,-4661212,1
1148,1148,0,-6332558,-5426849,-7012797,-5478465,1
1149,1149,0,-6332558,-5722050,-6393520,-5478465,1
1150,1150,0,-5120180,-5722050,-6393520,-5776677,1
1151,1151,0,-5120180,-5701006,-5169540,-5776677,1
1152,1152,0,-4959996,-5701006,-5169540,-5755492,1
1153,1153,0,-4959996,-5909226,-5007418,-5755492,1
1154,1154,0,-5503429,-5909226,-5007418,-5965703,1
1155,1155,0,-5503429,-6298312,-5555950,-5965703,1
1156,1156,0,-5003470,-6298312,-5555950,-6358583,1
1157,1157,0,-5003470,-6302383,-5051551,-6358583,1
1158,1158,0,-3341789,-6302383,-5051551,-6362894,1
1159,1159,0,-3341789,-5801963,-3374239,-6362894,1
1160,1160,0,-2226674,-5801963,-3374239,-5857760,1
1161,1161,0,-2226674,-5332867,-2248261,-5857760,1
1162,1162,0,-2299909,-5332867,-2248261,-5384042,1
1163,1163,0,-2299909,-5175056,-2322040,-5384042,1
1164,1164,0,-2088064,-5175056,-2322040,-5224610,1
1165,1165,0,-2088064,-4885752,-2108155,-5224610,1
1166,1166,0,-504992,-4885752,-2108155,-4932596,1
1167,1167,0,-504992,-4070054,-510477,-4932596,1
1168,1168,0,1203292,-4070054,-510477,-4109248,1
1169,1169,0,1203292,-3073526,1214555,-4109248,1
1170,1170,0,1625141,-3073526,1214555,-3103242,1
1171,1171,0,1625141,-2413911,1640575,-3103242,1
1172,1172,0,1510629,-2413911,1640575,-2437241,1
1173,1173,0,1510629,-1917801,1525204,-2437241,1
1174,1174,0,2488006,-1917801,1525204,-1936386,1
1175,1175,0,2488006,-1047000,2510741,-1936386,1
1176,1176,0,4243924,-1047000,2510741,-1057336,1
1177,1177,0,4243924,155518,4284002,-1057336,1
1178,1178,0,5040006,155518,4284002,156667,1
1179,1179,0,5040006,1110268,5088092,156667,1
1180,1180,0,4630683,1110268,5088092,1120681,1
1181,1181,0,4630683,1660518,4675058,1120681,1
1182,1182,0,4707279,1660518,4675058,1676187,1
1183,1183,0,4707279,2311208,4752225,1676187,1
1184,1184,0,5939079,2311208,4752225,2332898,1
1185,1185,0,5939079,3335734,5995263,2332898,1
1186,1186,0,6848107,3335734,5995263,3367115,1
1187,1187,0,6848107,4280915,6913545,3367115,1
1188,1188,0,6304806,4280915,6913545,4321486,1
1189,1189,0,6304806,4715371,6365574,4321486,1
1190,1190,0,5452472,4715371,6365574,4760362,1
1191,1191,0,5452472,4942635,5504685,4760362,1
1192,1192,0,5753843,4942635,5504685,4989788,1
1193,1193,0,5753843,5461985,5808331,4989788,1
1194,1194,0,6484819,5461985,5808331,5513998,1
1195,1195,0,6484819,6097598,6547018,5513998,1
1196,1196,0,5975668,6097598,6547018,6155756,1
1197,1197,0,5975668,6282752,6033220,6155756,1
1198,1198,0,4491714,6282752,6033220,6342886,1
1199,1199,0,4491714,6019486,4535203,6342886,1
1200,1200,0,3751290,6019486,4535203,6077134,1
1201,1201,0,3751290,5867171,3787641,6077134,1
1202,1202,0,4066120,5867171,3787641,5923234,1
1203,1203,0,4066120,5984178,4104589,5923234,1
1204,1204,0,3759750,5984178,4104589,6041367,1
1205,1205,0,3759750,5860908,3796608,6041367,1
1206,1206,0,2111346,5860908,3796608,5917152,1
1207,1207,0,2111346,5195126,2132392,5917152,1
1208,1208,0,579541,5195126,2132392,5245231,1
1209,1209,0,579541,4421445,585233,5245231,1
1210,1210,0,358382,4421445,585233,4464063,1
1211,1211,0,358382,3981082,361646,4464063,1
1212,1212,0,341908,3981082,361646,4019414,1
1213,1213,0,341908,3585569,345307,4019414,1
1214,1214,0,-929174,3585569,345307,3620243,1
1215,1215,0,-929174,2731209,-937588,3620243,1
1216,1216,0,-2761699,2731209,-937588,2757869,1
1217,1217,0,-2761699,1583433,-2787651,2757869,1
1218,1218,0,-3460820,1583433,-2787651,1599034,1
1219,1219,0,-3460820,721639,-3494020,1599034,1
1220,1220,0,-3191491,721639,-3494020,728700,1
1221,1221,0,-3191491,175072,-3222101,728700,1
1222,1222,0,-3675738,175072,-3222101,176838,1
1223,1223,0,-3675738,-596456,-3710754,176838,1
1224,1224,0,-5223405,-596456,-3710754,-601911,1
1225,1225,0,-5223405,-1750064,-5272932,-601911,1
1226,1226,0,-6176095,-1750064,-5272932,-1766485,1
1227,1227,0,-6176095,-2760780,-6234951,-1766485,1
1228,1228,0,-5718202,-2760780,-6234951,-2787000,1
1229,1229,0,-5718202,-3290326,-5773585,-2787000,1
1230,1230,0,-5271164,-3290326,-5773585,-3321757,1
1231,1231,0,-5271164,-3736596,-5321562,-3321757,1
1232,1232,0,-6026405,-3736596,-5321562,-3772260,1
1233,1233,0,-6026405,-4527684,-6083749,-3772260,1
1234,1234,0,-6921409,-4527684,-6083749,-4570776,1
1235,1235,0,-6921409,-5365327,-6987478,-4570776,1
1236,1236,0,-6445522,-5365327,-6987478,-5416520,1
1237,1237,0,-6445522,-5713747,-6507323,-5416520,1
1238,1238,0,-5222219,-5713747,-6507323,-5768480,1
1239,1239,0,-5222219,-5696971,-5272122,-5768480,1
1240,1240,0,-4928099,-5696971,-5272122,-5751599,1
1241,1241,0,-4928099,-5872568,-4975105,-5751599,1
1242,1242,0,-5473334,-5872568,-4975105,-5928725,1
1243,1243,0,-5473334,-6268619,-5525509,-5928725,1
1244,1244,0,-5128866,-6268619,-5525509,-6328456,1
1245,1245,0,-5128866,-6330242,-5178531,-6328456,1
1246,1246,0,-3511186,-6330242,-5178531,-6390739,1
1247,1247,0,-3511186,-5864180,-3545722,-6390739,1
1248,1248,0,-2273377,-5864180,-3545722,-5920261,1
1249,1249,0,-2273377,-5370060,-2295747,-5920261,1
1250,1250,0,-2279963,-5370060,-2295747,-5421360,1
1251,1251,0,-2279963,-5192322,-2301810,-5421360,1
1252,1252,0,-2166853,-5192322,-2301810,-5241977,1
1253,1253,0,-2166853,-4940439,-2188058,-5241977,1
1254,1254,0,-698182,-4940439,-2188058,-4987974,1
1255,1255,0,-698182,-4171064,-705169,-4987974,1
1256,1256,0,1085155,-4171064,-705169,-4211554,1
