Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
3543,3543,0,-2077638,-1998283,-2187820,-2014774,1
3544,3544,0,-2077638,-2053595,-2094761,-2014774,1
3545,3545,0,-1920325,-2053595,-2094761,-2070581,1
3546,3546,0,-1920325,-2016580,-1935671,-2070581,1
3547,3547,0,-2144777,-2016580,-1935671,-2033250,1
3548,3548,0,-2144777,-1991520,-2162310,-2033250,1
3549,3549,0,-2386053,-1991520,-2162310,-2007772,1
3550,3550,0,-2386053,-2078129,-2405892,-2007772,1
3551,3551,0,-2375106,-2078129,-2405892,-2095141,1
3552,3552,0,-2375106,-2132199,-2395067,-2095141,1
3553,3553,0,-2018581,-2132199,-2395067,-2149659,1
3554,3554,0,-2018581,-2206566,-2035214,-2149659,1
3555,3555,0,-2082364,-2206566,-2035214,-2224735,1
3556,3556,0,-2082364,-2231130,-2099274,-2224735,1
3557,3557,0,-2476493,-2231130,-2099274,-2249621,1
3558,3558,0,-2476493,-2215526,-2497497,-2249621,1
3559,3559,0,-2149824,-2215526,-2497497,-2233862,1
3560,3560,0,-2149824,-2238136,-2167731,-2233862,1
3561,3561,0,-2344115,-2238136,-2167731,-2256763,1
3562,3562,0,-2344115,-2181816,-2364054,-2256763,1
3563,3563,0,-2173143,-2181816,-2364054,-2199929,1
3564,3564,0,-2173143,-2263199,-2191209,-2199929,1
3565,3565,0,-1848302,-2263199,-2191209,-2282139,1
3566,3566,0,-1848302,-2285894,-1863825,-2282139,1
3567,3567,0,-2313531,-2285894,-1863825,-2305123,1
3568,3568,0,-2313531,-2128846,-2332582,-2305123,1
3569,3569,0,-2826011,-2128846,-2332582,-2146705,1
3570,3570,0,-2826011,-2169773,-2850059,-2146705,1
3571,3571,0,-2413931,-2169773,-2850059,-2187918,1
3572,3572,0,-2413931,-2290247,-2434410,-2187918,1
3573,3573,0,-2282749,-2290247,-2434410,-2309419,1
3574,3574,0,-2282749,-2350444,-2301850,-2309419,1
3575,3575,0,-1663539,-2350444,-2301850,-2370219,1
3576,3576,0,-1663539,-2459056,-1676348,-2370219,1
3577,3577,0,-3416246,-2459056,-1676348,-2479726,1
3578,3578,0,-3416246,-2296558,-3445422,-2479726,1
3579,3579,0,-857432,-2296558,-3445422,-2315667,1
3580,3580,0,-857432,-2444117,-865458,-2315667,1
3581,3581,0,5276536,-2444117,-865458,-2464508,1
3582,3582,0,5276536,-2054992,5328148,-2464508,1
3583,3583,0,3691147,-2054992,5328148,-2072270,1
3584,3584,0,3691147,-165171,3729226,-2072270,1
3585,3585,0,4402805,-165171,3729226,-164770,1
3586,3586,0,4402805,1173501,4446359,-164770,1
3587,3587,0,4202909,1173501,4446359,1186623,1
3588,3588,0,4202909,3128264,4245507,1186623,1
3589,3589,0,4486996,3128264,4245507,3159568,1
3590,3590,0,4486996,4393349,4531438,3159568,1
3591,3591,0,4673992,4393349,4531438,4437310,1
3592,3592,0,4673992,4195964,4720946,4437310,1
3593,3593,0,4735575,4195964,4720946,4238132,1
3594,3594,0,4735575,4441675,4782980,4238132,1
3595,3595,0,4579330,4441675,4782980,4486062,1
3596,3596,0,4579330,4524868,4625426,4486062,1
3597,3597,0,4605295,4524868,4625426,4570217,1
3598,3598,0,4605295,4618973,4651095,4570217,1
3599,3599,0,4908668,4618973,4651095,4665197,1
3600,3600,0,4908668,4648548,4957650,4665197,1
3601,3601,0,4883376,4648548,4957650,4695111,1
3602,3602,0,4883376,4707217,4931857,4695111,1
3603,3603,0,4410414,4707217,4931857,4754287,1
3604,3604,0,4410414,4744167,4455643,4754287,1
3605,3605,0,3560929,4744167,4455643,4791507,1
3606,3606,0,3560929,4701938,3596461,4791507,1
3607,3607,0,5167871,4701938,3596461,4749061,1
3608,3608,0,5167871,4440846,5219026,4749061,1
3609,3609,0,4645854,4440846,5219026,4485402,1
3610,3610,0,4645854,4505647,4692946,4485402,1
3611,3611,0,4773731,4505647,4692946,4550746,1
3612,3612,0,4773731,4446267,4821477,4550746,1
3613,3613,0,4501785,4446267,4821477,4491019,1
3614,3614,0,4501785,4537096,4547361,4491019,1
3615,3615,0,4977286,4537096,4547361,4582477,1
3616,3616,0,4977286,4772310,5026771,4582477,1
3617,3617,0,4666797,4772310,5026771,4820202,1
3618,3618,0,4666797,4724664,4713358,4820202,1
3619,3619,0,4954381,4724664,4713358,4772138,1
3620,3620,0,4954381,4729899,5003343,4772138,1
3621,3621,0,4879195,4729899,5003343,4777241,1
3622,3622,0,4879195,4775062,4927976,4777241,1
3623,3623,0,4923392,4775062,4927976,4822708,1
3624,3624,0,4923392,4869414,4972420,4822708,1
3625,3625,0,4832009,4869414,4972420,4917862,1
3626,3626,0,4832009,4855941,4880485,4917862,1
3627,3627,0,4650364,4855941,4880485,4904274,1
3628,3628,0,4650364,4897244,4696559,4904274,1
3629,3629,0,4971723,4897244,4696559,4946056,1
3630,3630,0,4971723,4821240,5021062,4946056,1
3631,3631,0,4857393,4821240,5021062,4869360,1
3632,3632,0,4857393,4844372,4905547,4869360,1
3633,3633,0,4939059,4844372,4905547,4892631,1
3634,3634,0,4939059,4827872,4988061,4892631,1
3635,3635,0,4884855,4827872,4988061,4875913,1
3636,3636,0,4884855,4854634,4933735,4875913,1
3637,3637,0,4895786,4854634,4933735,4902807,1
3638,3638,0,4895786,4913257,4944639,4902807,1
3639,3639,0,4913711,4913257,4944639,4962101,1
3640,3640,0,4913711,4894273,4962302,4962101,1
3641,3641,0,4834515,4894273,4962302,4942995,1
3642,3642,0,4834515,4908352,4883146,4942995,1
3643,3643,0,4720651,4908352,4883146,4957184,1
3644,3644,0,4720651,4882216,4767719,4957184,1
3645,3645,0,4843328,4882216,4767719,4930955,1
3646,3646,0,4843328,4841165,4891925,4930955,1
3647,3647,0,4388900,4841165,4891925,4889451,1
3648,3648,0,4388900,4828051,4433294,4889451,1
3649,3649,0,4874783,4828051,4433294,4876273,1
3650,3650,0,4874783,4696848,4923002,4876273,1
3651,3651,0,4748983,4696848,4923002,4744021,1
3652,3652,0,4748983,4706915,4796422,4744021,1
3653,3653,0,4478570,4706915,4796422,4753985,1
3654,3654,0,4478570,4713998,4523172,4753985,1
3655,3655,0,5006175,4713998,4523172,4761160,1
3656,3656,0,5006175,4622809,5056225,4761160,1
3657,3657,0,4703005,4622809,5056225,4668972,1
3658,3658,0,4703005,4777127,4750407,4668972,1
3659,3659,0,4299794,4777127,4750407,4824705,1
3660,3660,0,4299794,4734183,4343106,4824705,1
3661,3661,0,4851852,4734183,4343106,4781556,1
3662,3662,0,4851852,4621886,4900268,4781556,1
3663,3663,0,4595775,4621886,4900268,4668227,1
3664,3664,0,4595775,4715206,4641871,4668227,1
3665,3665,0,4518447,4715206,4641871,4762501,1
3666,3666,0,4518447,4612606,4563660,4762501,1
3667,3667,0,4859023,4612606,4563660,4658913,1
3668,3668,0,4859023,4566467,4907387,4658913,1
3669,3669,0,4680928,4566467,4907387,4612226,1
3670,3670,0,4680928,4706274,4727812,4612226,1
3671,3671,0,4879075,4706274,4727812,4753296,1
3672,3672,0,4879075,4663543,4927492,4753296,1
